date,state,fips,cases,deaths,d_cases,d_deaths
2020-01-21,Washington,53,1,0,,
2020-01-22,Washington,53,1,0,0.0,0.0
2020-01-23,Washington,53,1,0,0.0,0.0
2020-01-24,Illinois,17,1,0,1.0,0.0
2020-01-24,Washington,53,1,0,0.0,0.0
2020-01-25,California,6,1,0,1.0,0.0
2020-01-25,Illinois,17,1,0,0.0,0.0
2020-01-25,Washington,53,1,0,0.0,0.0
2020-01-26,Arizona,4,1,0,1.0,0.0
2020-01-26,California,6,2,0,1.0,0.0
2020-01-26,Illinois,17,1,0,0.0,0.0
2020-01-26,Washington,53,1,0,0.0,0.0
2020-01-27,Arizona,4,1,0,0.0,0.0
2020-01-27,California,6,2,0,0.0,0.0
2020-01-27,Illinois,17,1,0,0.0,0.0
2020-01-27,Washington,53,1,0,0.0,0.0
2020-01-28,Arizona,4,1,0,0.0,0.0
2020-01-28,California,6,2,0,0.0,0.0
2020-01-28,Illinois,17,1,0,0.0,0.0
2020-01-28,Washington,53,1,0,0.0,0.0
2020-01-29,Arizona,4,1,0,0.0,0.0
2020-01-29,California,6,2,0,0.0,0.0
2020-01-29,Illinois,17,1,0,0.0,0.0
2020-01-29,Washington,53,1,0,0.0,0.0
2020-01-30,Arizona,4,1,0,0.0,0.0
2020-01-30,California,6,2,0,0.0,0.0
2020-01-30,Illinois,17,2,0,1.0,0.0
2020-01-30,Washington,53,1,0,0.0,0.0
2020-01-31,Arizona,4,1,0,0.0,0.0
2020-01-31,California,6,3,0,1.0,0.0
2020-01-31,Illinois,17,2,0,0.0,0.0
2020-01-31,Washington,53,1,0,0.0,0.0
2020-02-01,Arizona,4,1,0,0.0,0.0
2020-02-01,California,6,3,0,0.0,0.0
2020-02-01,Illinois,17,2,0,0.0,0.0
2020-02-01,Massachusetts,25,1,0,1.0,0.0
2020-02-01,Washington,53,1,0,0.0,0.0
2020-02-02,Arizona,4,1,0,0.0,0.0
2020-02-02,California,6,6,0,3.0,0.0
2020-02-02,Illinois,17,2,0,0.0,0.0
2020-02-02,Massachusetts,25,1,0,0.0,0.0
2020-02-02,Washington,53,1,0,0.0,0.0
2020-02-03,Arizona,4,1,0,0.0,0.0
2020-02-03,California,6,6,0,0.0,0.0
2020-02-03,Illinois,17,2,0,0.0,0.0
2020-02-03,Massachusetts,25,1,0,0.0,0.0
2020-02-03,Washington,53,1,0,0.0,0.0
2020-02-04,Arizona,4,1,0,0.0,0.0
2020-02-04,California,6,6,0,0.0,0.0
2020-02-04,Illinois,17,2,0,0.0,0.0
2020-02-04,Massachusetts,25,1,0,0.0,0.0
2020-02-04,Washington,53,1,0,0.0,0.0
2020-02-05,Arizona,4,1,0,0.0,0.0
2020-02-05,California,6,6,0,0.0,0.0
2020-02-05,Illinois,17,2,0,0.0,0.0
2020-02-05,Massachusetts,25,1,0,0.0,0.0
2020-02-05,Washington,53,1,0,0.0,0.0
2020-02-05,Wisconsin,55,1,0,1.0,0.0
2020-02-06,Arizona,4,1,0,0.0,0.0
2020-02-06,California,6,6,0,0.0,0.0
2020-02-06,Illinois,17,2,0,0.0,0.0
2020-02-06,Massachusetts,25,1,0,0.0,0.0
2020-02-06,Washington,53,1,0,0.0,0.0
2020-02-06,Wisconsin,55,1,0,0.0,0.0
2020-02-07,Arizona,4,1,0,0.0,0.0
2020-02-07,California,6,6,0,0.0,0.0
